Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Gelatin,10.3,69.36,244.13,197.09,84.05,69.32,87.9,49.58
Recycled LDPE,31.04,98.28,75.01,173.45,57.17,72.51,68.61,76.35
Chitosan,91.38,33.94,211.59,166.19,98.66,72.16,72.3,93.38
Mycelium-based Material,91.21,74.48,128.94,213.01,93.75,34.35,84.78,29.61
PLA (Polylactic Acid),37.97,49.88,243.49,155.07,82.25,87.68,95.17,87.6
Coconut Coir Composite,10.6,37.43,50.14,208.19,91.41,45.25,62.38,50.74
Maleic Anhydride Grafted (MAG) Polymers,22.64,65.42,41.01,154.85,94.66,51.88,77.77,64.92
Paper-based Composite,41.5,34.24,15.58,247.42,64.83,43.79,59.64,33.53
Natural Fiber Composite,90.69,94.22,183.84,188.05,92.85,84.16,67.0,29.69
Recycled LDPE,19.28,68.58,87.0,240.47,61.75,71.69,85.62,76.99
Paper-based Composite,74.37,76.49,219.53,175.62,72.13,83.36,57.76,84.61
Thermoplastic Starch (TPS),16.4,35.87,163.94,150.09,79.02,76.43,84.54,61.75
Polybutylene Adipate Terephthalate (PBAT),93.65,35.17,150.7,182.49,86.41,39.08,95.46,53.19
Nano-cellulose Composite,40.56,82.01,129.42,239.71,53.93,52.5,98.6,55.66
Recycled PET (rPET),75.41,124.42,75.67,198.13,66.3,66.49,64.12,32.58
Maleic Anhydride Grafted (MAG) Polymers,37.11,30.57,30.2,204.4,81.4,52.74,88.5,83.5
Natural Fiber Composite,62.35,50.58,119.24,235.85,69.48,46.1,96.63,87.7
Cork Composite,23.78,112.22,38.29,196.19,89.31,91.15,58.38,49.04
Mycelium-based Material,19.71,28.04,227.85,220.34,83.45,82.85,73.16,29.69
PHA (Polyhydroxyalkanoates),89.83,112.89,209.89,171.63,63.63,55.47,96.31,61.99
Hemp Fiber Composite,88.02,75.77,160.64,177.43,59.43,84.02,63.49,75.64
Recycled PP,85.35,63.52,121.32,244.18,82.38,74.67,96.97,62.76
Paper-based Composite,62.15,53.11,121.74,240.62,73.9,32.26,78.35,69.11
Polybutylene Succinate (PBS),78.34,51.78,124.16,213.36,60.53,57.86,58.78,61.96
Maleic Anhydride Grafted (MAG) Polymers,12.89,52.7,190.18,241.92,68.0,51.75,74.8,82.26
Thermoplastic Starch (TPS),36.42,113.84,44.66,197.32,66.89,46.82,69.14,78.33
Polylactic Acid (PLA) Blends,34.55,96.84,139.85,217.67,57.64,49.11,67.12,84.72
Bagasse Fiber Composite,63.05,91.13,205.98,159.13,78.48,96.08,79.0,23.19
Maleic Anhydride Grafted (MAG) Polymers,38.29,104.75,134.88,248.44,88.77,65.07,76.35,41.58
Starch-based Polymer,19.93,47.56,18.23,178.72,79.83,89.64,76.27,30.97
Alginate,59.59,85.67,72.5,156.76,91.75,46.57,58.24,72.78
Nano-cellulose Composite,78.88,68.99,172.12,209.39,58.56,43.86,90.95,28.86
Polybutylene Adipate Terephthalate (PBAT),40.61,103.03,234.54,224.7,73.19,92.44,76.25,52.32
Jute Fiber Composite,18.49,53.06,225.03,248.76,81.45,65.71,91.8,87.47
PHA (Polyhydroxyalkanoates),24.19,88.32,208.34,180.43,84.61,92.87,91.97,45.04
Polybutylene Fumarate (PBF),27.8,113.56,238.29,220.01,85.55,36.29,68.72,28.34
Chitosan,33.33,62.87,80.78,191.82,87.13,94.32,54.4,50.91
Blended Starch,63.69,27.44,17.91,184.77,83.44,60.25,95.94,68.85
Poly(3-hydroxybutyrate) (PHB),59.98,74.9,98.28,225.81,56.98,42.57,89.04,72.91
Seaweed/Kelp-based Polymer,68.4,56.94,150.6,206.49,85.53,78.47,59.11,90.67
Recycled LDPE,38.87,91.39,89.37,212.56,86.93,86.19,86.34,60.71
Coconut Coir Composite,79.73,120.83,25.39,171.12,99.69,35.22,55.12,94.9
Polybutylene Succinate (PBS),24.85,71.69,134.19,197.32,85.43,99.13,55.47,64.91
Natural Fiber Composite,48.3,69.64,61.93,167.0,85.12,79.4,78.28,65.98
Recycled PP,77.69,89.53,185.98,238.78,76.95,53.86,58.6,93.96
Polycaprolactone (PCL),22.73,31.34,35.96,165.55,93.73,42.29,98.37,29.93
Polybutylene Adipate Terephthalate (PBAT),16.51,47.18,240.16,232.3,99.85,58.69,95.14,51.15
Polyhydroxyvalerate (PHV),85.01,117.45,221.02,185.45,89.5,47.0,83.96,21.08
Hemp Fiber Composite,37.14,91.15,220.36,219.9,81.59,65.6,57.12,64.8
Nano-cellulose Composite,67.32,21.83,200.62,220.72,56.25,85.17,69.08,70.36
PHA (Polyhydroxyalkanoates),9.02,42.02,163.89,209.17,87.02,76.89,71.22,88.01
Mycelium-based Material,67.87,92.51,27.56,162.85,86.16,61.64,76.22,47.94
Paper-based Composite,34.76,101.12,170.67,234.2,89.34,40.09,61.94,57.62
Coconut Coir Composite,11.71,109.09,190.53,184.91,58.42,97.09,80.65,69.14
Chitosan,60.77,51.26,45.74,193.88,83.55,50.39,74.16,57.46
Polybutylene Fumarate (PBF),28.1,118.72,159.7,204.01,66.55,50.89,97.59,75.42
Cork Composite,41.02,78.8,127.53,152.2,88.61,75.89,97.08,63.44
Polylactic Acid (PLA) Blends,13.91,93.96,126.02,228.35,63.92,84.39,80.1,35.95
Paper-based Composite,19.81,83.42,61.87,160.87,84.99,98.92,83.71,92.11
PLA (Polylactic Acid),33.16,33.37,188.77,232.97,66.51,97.9,60.51,25.24
Recycled PP,14.73,122.11,232.4,245.8,52.93,94.14,64.43,21.23
Nano-cellulose Composite,87.42,33.38,200.13,201.03,82.58,61.6,95.45,61.75
Jute Fiber Composite,7.32,47.32,101.72,218.04,57.88,43.33,86.22,24.71
Bagasse Fiber Composite,49.62,106.32,246.28,221.12,83.82,71.74,62.88,81.04
Polylactic Acid (PLA) Blends,17.69,85.73,100.58,166.59,96.47,33.17,80.32,66.08
Poly(3-hydroxybutyrate) (PHB),34.02,108.91,70.09,178.06,98.54,45.34,97.01,65.32
Maleic Anhydride Grafted (MAG) Polymers,88.76,74.87,242.5,241.73,63.71,32.17,70.01,56.42
Gelatin,21.09,60.22,200.61,168.64,90.94,44.28,62.71,52.53
Paper-based Composite,92.29,117.75,193.89,244.02,69.29,64.28,97.34,63.75
Polybutylene Adipate Terephthalate (PBAT),25.0,24.24,33.2,223.65,95.27,58.75,75.33,24.04
Polybutylene Succinate (PBS),72.43,110.81,60.13,163.19,89.91,57.11,73.31,45.83
Polyhydroxyvalerate (PHV),55.18,44.78,19.35,230.42,56.01,88.5,66.45,60.69
Maleic Anhydride Grafted (MAG) Polymers,85.08,110.03,197.51,154.31,71.84,77.9,95.03,32.18
Alginate,55.83,35.11,80.39,206.53,68.52,95.68,92.93,90.46
Polybutylene Fumarate (PBF),54.1,81.68,46.07,245.64,89.8,62.28,72.66,75.45
Blended Starch,24.08,114.19,57.74,192.36,71.99,50.51,55.6,76.8
Maleic Anhydride Grafted (MAG) Polymers,21.5,70.41,165.67,183.52,85.02,40.34,74.66,62.39
Nano-cellulose Composite,87.92,99.24,116.77,243.43,81.12,77.7,62.48,43.76
Polylactic Acid (PLA) Blends,35.8,105.38,236.23,151.34,98.84,89.24,60.74,90.77
Polycaprolactone (PCL),39.72,98.18,100.98,153.67,97.04,44.49,72.2,73.13
Natural Fiber Composite,74.05,118.12,210.96,248.82,72.82,91.76,58.74,64.02
Polybutylene Fumarate (PBF),36.78,67.59,143.42,157.45,86.87,67.79,98.05,61.92
Alginate,91.07,38.69,180.76,246.67,91.9,41.8,56.38,51.24
Coconut Coir Composite,72.11,25.46,54.64,169.48,95.2,75.71,72.58,69.87
Cork Composite,59.67,46.43,191.01,220.94,55.74,67.36,61.65,67.65
Cork Composite,84.77,35.53,35.13,197.69,66.85,33.92,85.75,59.15
Recycled PET (rPET),11.17,79.32,177.41,168.85,67.71,59.15,57.81,54.45
Recycled PP,29.54,39.94,124.4,241.53,73.14,85.37,79.24,20.34
Polybutylene Adipate Terephthalate (PBAT),47.95,24.52,68.7,235.52,60.54,69.77,89.61,92.48
Alginate,26.87,24.21,127.89,160.03,76.07,51.18,97.71,85.71
Polybutylene Fumarate (PBF),72.64,108.22,216.08,170.01,84.0,95.15,86.19,56.8
PLA (Polylactic Acid),88.16,82.86,51.36,191.9,76.12,48.17,58.76,29.3
Polycaprolactone (PCL),44.3,58.22,54.86,194.3,84.13,49.19,58.25,39.91
PHA (Polyhydroxyalkanoates),37.07,114.83,140.49,165.01,55.66,56.12,87.71,23.55
Polybutylene Fumarate (PBF),91.91,27.82,161.93,167.38,94.11,92.83,64.06,32.42
Blended Starch,46.16,123.92,113.75,226.13,97.11,66.52,74.68,48.26
Recycled LDPE,50.08,85.48,77.6,196.21,81.85,78.39,98.93,72.55
Polyhydroxyvalerate (PHV),37.91,39.78,30.79,236.85,94.37,98.39,91.75,82.91
Recycled HDPE,87.3,92.11,26.7,234.89,58.74,85.26,92.97,22.38
Polybutylene Fumarate (PBF),57.15,101.02,24.59,241.61,90.38,43.74,93.62,65.65
Polybutylene Adipate Terephthalate (PBAT),74.26,65.74,226.8,192.22,58.16,85.61,82.58,27.55
PHA (Polyhydroxyalkanoates),78.65,111.39,45.87,216.5,71.88,82.89,88.27,77.96
Mycelium-based Material,37.04,36.33,84.35,153.6,67.88,47.82,70.64,33.92
Recycled PP,45.17,49.85,246.68,150.47,80.32,54.12,99.93,64.06
Gelatin,81.9,30.28,232.96,167.61,66.82,80.29,67.01,34.81
Recycled HDPE,38.94,42.68,25.07,190.6,82.77,48.21,81.22,65.79
Natural Fiber Composite,77.07,45.62,144.55,186.86,69.95,46.16,67.12,41.05
Blended Starch,90.09,117.3,163.87,197.72,93.39,79.84,59.33,48.38
Polyhydroxyvalerate (PHV),61.95,28.66,27.72,214.94,82.61,91.88,80.2,48.95
Coconut Coir Composite,72.44,65.54,186.11,241.54,62.73,37.1,70.38,74.08
Poly(3-hydroxybutyrate) (PHB),78.06,76.63,247.15,231.34,68.47,62.32,80.91,72.31
Poly(3-hydroxybutyrate) (PHB),81.59,115.3,115.9,243.99,92.75,73.29,79.79,77.68
Polyhydroxyvalerate (PHV),41.75,125.76,120.61,184.06,70.86,77.99,79.04,22.67
Polybutylene Succinate (PBS),11.32,99.96,169.95,249.03,77.95,99.74,59.85,23.8
Polylactic Acid (PLA) Blends,42.36,122.92,188.09,150.68,83.32,78.42,74.36,63.81
Maleic Anhydride Grafted (MAG) Polymers,66.43,103.52,200.6,168.77,69.02,74.17,91.39,88.15
Gelatin,46.65,122.11,33.23,184.8,66.46,99.3,68.63,93.29
Blended Starch,73.09,95.09,203.16,212.28,75.07,36.13,74.53,94.6
Hemp Fiber Composite,38.38,28.83,218.06,168.04,62.71,37.06,76.82,47.19
Gelatin,62.97,62.85,25.63,205.94,66.0,70.13,93.71,60.65
Polybutylene Adipate Terephthalate (PBAT),23.28,88.68,24.2,244.51,55.45,56.39,84.23,33.28
Paper-based Composite,73.12,57.44,144.46,197.16,66.94,38.58,58.79,34.58
Hemp Fiber Composite,55.09,49.28,131.75,194.54,67.73,52.84,93.82,65.23
PLA (Polylactic Acid),24.85,81.38,245.32,179.31,98.19,77.86,92.31,73.61
Recycled LDPE,32.62,118.98,84.18,245.3,80.51,91.88,88.72,61.57
Recycled PET (rPET),73.05,24.1,153.7,231.44,89.9,38.41,75.55,90.78
Recycled PP,49.5,101.63,134.07,245.9,54.66,68.73,88.9,43.7
Recycled PP,25.91,96.72,140.9,218.98,57.56,52.14,76.13,32.79
Nano-cellulose Composite,92.41,122.19,170.02,173.81,91.19,77.38,87.94,52.17
Recycled HDPE,70.09,118.68,141.33,230.4,82.12,69.36,94.51,93.23
Seaweed/Kelp-based Polymer,91.52,100.89,16.63,239.73,61.57,95.02,94.99,63.68
Bagasse Fiber Composite,44.59,75.36,213.27,185.01,71.73,34.56,75.02,27.41
PLA (Polylactic Acid),48.84,41.98,62.27,156.99,78.09,63.96,93.56,45.07
Mycelium-based Material,86.28,77.98,69.32,210.82,92.57,45.11,58.85,84.51
Recycled PET (rPET),53.26,101.22,167.27,155.41,55.37,68.5,58.86,65.94
Thermoplastic Starch (TPS),69.4,114.98,127.27,190.22,80.84,90.04,79.31,83.04
Maleic Anhydride Grafted (MAG) Polymers,29.1,103.8,150.0,207.62,86.56,93.97,84.05,28.12
Seaweed/Kelp-based Polymer,46.33,41.03,131.91,200.82,98.95,59.08,61.21,59.34
Recycled LDPE,17.71,83.73,113.2,187.65,90.84,87.2,75.83,73.03
Coconut Coir Composite,25.02,55.48,128.58,210.59,65.62,51.07,58.52,39.0
Chitosan,6.86,21.38,48.16,159.36,86.21,32.43,81.78,74.27
Recycled PET (rPET),10.26,41.55,242.79,213.37,88.76,90.16,93.36,57.6
Hemp Fiber Composite,93.3,32.36,150.07,200.84,87.16,40.12,87.98,76.32
Recycled PET (rPET),28.24,109.39,82.4,156.47,91.46,33.2,71.53,58.88
Starch-based Polymer,65.5,47.71,182.52,225.68,95.43,56.06,99.72,72.04
Recycled HDPE,81.07,50.47,221.82,234.3,57.18,57.8,84.56,46.25
Nano-cellulose Composite,55.53,121.77,84.67,229.3,57.48,37.25,91.54,85.75
Poly(3-hydroxybutyrate) (PHB),20.34,60.44,91.26,173.01,90.33,87.36,84.87,50.4
Recycled LDPE,71.24,21.42,118.06,183.24,64.49,59.58,99.52,80.51
Thermoplastic Starch (TPS),59.92,50.38,66.06,210.49,55.28,65.31,91.82,42.98
Natural Fiber Composite,71.52,33.01,205.3,220.11,71.56,49.99,77.99,56.33
Polyhydroxyvalerate (PHV),74.93,31.27,152.28,208.4,91.44,66.78,71.0,53.23
Nano-cellulose Composite,93.13,28.59,28.41,222.0,58.51,84.14,85.44,78.24
Polycaprolactone (PCL),57.56,83.05,249.23,210.33,84.41,93.62,81.23,72.09
Recycled PET (rPET),37.03,40.4,150.12,188.13,52.67,98.0,83.02,66.69
Maleic Anhydride Grafted (MAG) Polymers,64.19,58.55,224.14,194.8,57.71,61.02,69.91,58.65
Coconut Coir Composite,12.84,111.43,132.88,214.55,69.17,99.32,73.84,27.77
Cork Composite,86.23,65.22,151.88,178.45,56.47,52.06,79.76,40.75
Starch-based Polymer,17.35,117.1,121.8,163.67,92.68,32.47,92.64,21.35
Mycelium-based Material,35.8,72.99,114.35,235.32,93.54,84.2,89.14,64.94
Polybutylene Adipate Terephthalate (PBAT),79.0,62.52,66.3,249.37,88.39,44.13,59.63,29.53
Bagasse Fiber Composite,59.66,99.64,241.1,242.13,64.02,35.57,65.45,29.62
Maleic Anhydride Grafted (MAG) Polymers,41.63,28.14,57.72,163.46,77.35,94.83,55.42,66.79
Polycaprolactone (PCL),48.69,29.86,138.71,154.37,61.25,85.84,54.56,72.15
Cork Composite,82.43,89.25,35.47,215.07,65.86,38.98,64.48,26.94
Polycaprolactone (PCL),36.88,71.83,248.44,192.43,77.01,84.83,90.81,56.31
Mycelium-based Material,83.77,103.87,145.58,212.39,87.41,89.39,95.64,26.83
Recycled PET (rPET),14.58,117.16,206.43,154.48,57.0,93.56,72.14,25.95
Polybutylene Fumarate (PBF),75.55,61.42,147.29,231.09,66.59,68.97,79.99,67.62
PLA (Polylactic Acid),81.81,83.38,204.17,157.26,96.51,79.83,86.54,75.84
Hemp Fiber Composite,22.88,73.28,140.59,195.13,72.88,83.83,97.84,39.95
Paper-based Composite,44.88,124.06,119.57,214.41,97.1,78.83,96.01,51.02
Polyhydroxyvalerate (PHV),21.43,108.16,122.14,203.01,99.59,75.98,56.82,58.34
Maleic Anhydride Grafted (MAG) Polymers,69.34,116.68,15.55,179.77,77.52,69.23,65.57,85.52
Polybutylene Fumarate (PBF),54.17,47.27,102.1,164.66,66.18,64.59,56.45,67.78
Natural Fiber Composite,63.03,101.98,238.71,223.73,90.06,99.74,82.44,84.23
Cellulose Acetate,24.17,48.44,173.76,185.28,60.07,54.95,86.74,37.54
Paper-based Composite,25.53,42.45,231.04,208.28,64.47,38.0,68.32,59.21
Nano-cellulose Composite,10.45,120.12,62.06,209.4,89.78,84.02,93.31,71.34
Recycled PP,35.29,22.45,130.42,237.96,73.1,46.54,74.94,36.95
Alginate,56.33,122.35,23.1,158.29,62.07,68.22,99.93,32.61
Recycled LDPE,82.73,36.17,174.11,176.09,83.43,38.51,54.22,69.15
Bagasse Fiber Composite,65.82,106.93,199.24,156.95,87.31,74.11,59.21,32.76
Paper-based Composite,45.33,49.54,190.73,235.3,58.44,96.19,68.02,69.09
Polybutylene Fumarate (PBF),91.16,57.44,35.39,200.87,65.66,81.14,55.37,38.68
Natural Fiber Composite,70.45,43.3,73.17,241.8,63.01,46.59,90.03,52.57
PLA (Polylactic Acid),89.13,82.23,169.12,169.29,70.54,98.04,56.62,61.72
Cellulose Acetate,53.49,57.17,193.36,217.98,88.76,52.88,88.5,48.66
Polycaprolactone (PCL),29.7,89.82,79.44,167.15,86.4,61.69,56.61,40.75
PHA (Polyhydroxyalkanoates),11.46,22.06,110.47,223.95,83.97,65.87,65.77,88.79
Coconut Coir Composite,71.06,27.21,97.55,204.53,52.8,99.37,92.73,90.66
Paper-based Composite,17.52,30.93,16.07,194.46,59.25,36.68,97.76,34.0
Recycled PET (rPET),33.58,64.65,150.48,183.27,63.11,79.38,73.19,86.84
Recycled LDPE,53.92,106.44,172.24,161.5,65.42,56.61,98.62,24.12
Poly(3-hydroxybutyrate) (PHB),56.75,114.19,79.96,227.42,59.46,37.33,82.91,22.42
Polybutylene Fumarate (PBF),59.95,46.26,176.63,177.42,71.99,95.58,73.25,69.8
Coconut Coir Composite,21.5,81.06,72.05,237.65,56.07,72.11,90.97,43.06
Cork Composite,40.4,101.54,183.15,191.14,88.13,83.24,67.73,41.83
Polylactic Acid (PLA) Blends,61.42,50.91,122.44,156.71,89.92,48.35,66.37,51.76
Cellulose Acetate,92.64,63.6,219.9,157.2,79.78,83.78,84.27,33.47
Polybutylene Succinate (PBS),71.2,75.74,143.01,234.0,56.76,88.34,72.08,86.05
Jute Fiber Composite,88.46,34.65,58.39,197.98,94.78,61.3,60.43,27.37
Cork Composite,74.26,23.15,208.17,189.76,98.37,70.89,57.27,73.55
Coconut Coir Composite,59.16,36.54,197.75,207.24,62.11,98.09,90.28,39.76
Recycled LDPE,23.78,86.6,34.79,155.25,85.97,89.58,85.16,61.73
Recycled HDPE,65.8,28.18,26.29,230.96,92.49,62.25,73.06,61.73
Cork Composite,61.97,40.44,47.03,194.49,78.14,77.19,95.25,40.67
Polyhydroxyvalerate (PHV),60.12,56.08,213.65,213.5,67.86,85.33,73.02,77.48
Blended Starch,50.14,28.63,90.29,217.24,75.23,33.65,86.73,37.61
Polybutylene Fumarate (PBF),53.58,40.65,133.62,221.1,76.83,72.01,95.84,26.81
Nano-cellulose Composite,36.39,116.63,156.7,191.32,71.53,98.95,92.7,27.71
Chitosan,52.75,22.45,189.72,191.88,96.67,96.41,77.61,89.27
PLA (Polylactic Acid),24.27,89.41,210.04,187.04,87.83,88.61,85.37,55.23
Chitosan,78.06,61.0,136.23,234.75,63.96,39.22,73.15,83.43
Mycelium-based Material,23.23,91.43,112.7,192.69,80.31,99.59,83.84,84.94
Maleic Anhydride Grafted (MAG) Polymers,14.3,82.57,61.05,226.6,85.21,73.45,66.0,70.66
Gelatin,45.4,44.01,157.77,232.03,59.16,47.16,74.11,91.93
Bagasse Fiber Composite,65.06,109.87,144.22,153.74,69.53,77.85,63.8,72.46
Polyhydroxyvalerate (PHV),45.53,72.35,83.42,158.46,95.51,90.24,55.95,73.63
Recycled PET (rPET),31.28,107.26,119.86,187.72,79.44,39.64,81.16,27.2
Thermoplastic Starch (TPS),56.19,63.28,188.82,165.19,62.81,94.32,93.79,88.56
Bagasse Fiber Composite,37.5,124.38,162.36,194.23,58.33,94.57,55.37,36.19
Polyhydroxyvalerate (PHV),89.37,101.77,128.21,182.94,77.12,32.92,63.18,85.48
Bagasse Fiber Composite,88.46,122.4,78.99,150.1,78.52,93.22,75.28,74.84
Chitosan,51.25,74.72,171.98,172.7,68.38,96.38,84.7,68.57
Bagasse Fiber Composite,35.81,70.43,162.5,183.08,82.44,34.56,62.04,44.77
Hemp Fiber Composite,72.04,100.18,122.68,201.33,55.76,52.0,56.8,41.7
Paper-based Composite,10.03,113.36,71.05,249.35,59.39,57.37,77.97,89.89
Poly(3-hydroxybutyrate) (PHB),48.81,122.21,56.1,217.73,78.45,55.72,91.7,67.88
Polybutylene Fumarate (PBF),36.55,54.68,94.76,225.49,55.44,83.61,55.81,26.59
Seaweed/Kelp-based Polymer,88.28,104.75,228.55,217.36,94.34,56.35,70.2,54.41
Polyhydroxyvalerate (PHV),7.84,42.65,192.16,178.02,59.25,97.05,84.59,85.68
Polylactic Acid (PLA) Blends,55.72,78.02,224.4,158.5,84.51,99.66,60.19,51.96
PHA (Polyhydroxyalkanoates),72.35,39.4,213.01,232.53,71.08,53.54,65.01,68.99
Polybutylene Adipate Terephthalate (PBAT),49.72,57.09,122.84,175.85,71.49,66.6,78.73,78.94
Polylactic Acid (PLA) Blends,14.34,118.75,139.65,187.88,88.83,69.92,97.86,27.6
Natural Fiber Composite,92.87,35.84,54.85,200.83,76.22,71.4,67.36,81.87
Maleic Anhydride Grafted (MAG) Polymers,52.64,87.19,184.4,233.86,86.97,57.45,76.53,67.35
Thermoplastic Starch (TPS),61.15,83.02,114.16,235.23,76.5,43.29,72.52,76.14
Polybutylene Succinate (PBS),27.73,33.16,52.9,168.43,80.66,35.71,95.3,80.87
Blended Starch,49.58,54.83,37.41,169.69,88.63,39.23,57.49,41.53
Polybutylene Succinate (PBS),44.77,79.86,178.59,154.38,81.35,93.29,80.13,40.43
Polybutylene Adipate Terephthalate (PBAT),13.41,40.17,128.32,197.84,81.74,51.07,92.95,43.65
Poly(3-hydroxybutyrate) (PHB),16.18,104.95,17.11,165.26,89.99,37.22,99.46,24.92
PHA (Polyhydroxyalkanoates),80.92,123.06,208.76,217.13,97.58,74.4,86.2,57.41
Cork Composite,28.01,43.09,160.57,187.88,70.39,37.12,71.6,71.77
PLA (Polylactic Acid),24.04,40.15,24.02,168.8,79.91,36.76,73.06,38.73
Natural Fiber Composite,51.48,68.45,86.6,152.37,56.6,74.27,70.31,66.17
Jute Fiber Composite,74.84,99.37,184.77,165.67,69.54,72.21,81.85,36.57
Coconut Coir Composite,12.26,50.14,28.87,183.62,72.07,34.82,88.06,65.02
Polycaprolactone (PCL),57.84,22.51,188.02,214.67,92.17,63.31,91.73,23.35
Cork Composite,17.33,77.56,133.65,216.21,76.89,61.63,73.28,22.12
Polybutylene Succinate (PBS),10.01,121.42,198.97,182.48,87.23,69.17,87.03,58.82
Thermoplastic Starch (TPS),11.45,61.72,215.98,203.31,53.4,82.17,96.16,50.94
Cork Composite,80.63,64.77,195.42,173.89,74.56,51.23,96.37,26.42
Bagasse Fiber Composite,17.22,122.72,33.35,170.62,95.31,61.43,86.44,37.53
Polybutylene Adipate Terephthalate (PBAT),10.78,93.75,123.19,233.71,63.15,85.91,83.37,63.41
PHA (Polyhydroxyalkanoates),45.55,96.35,89.9,186.25,54.0,94.73,78.54,68.31
Cork Composite,81.5,79.83,134.5,211.72,73.09,92.61,62.59,68.33
Recycled LDPE,30.01,123.32,241.96,217.66,85.96,64.48,59.86,76.13
Maleic Anhydride Grafted (MAG) Polymers,44.11,93.15,44.23,197.96,74.09,67.42,76.45,30.98
Bagasse Fiber Composite,10.31,114.92,218.42,232.56,74.35,67.98,61.5,87.07
Polyhydroxyvalerate (PHV),46.54,94.26,247.85,211.85,84.32,91.07,80.63,50.42
Polyhydroxyvalerate (PHV),57.92,98.03,247.66,186.57,64.58,89.12,83.77,82.2
Blended Starch,57.32,51.07,202.22,159.17,88.21,53.18,78.27,23.8
Paper-based Composite,36.21,52.45,124.41,153.23,59.77,43.07,55.87,47.99
Recycled HDPE,34.71,103.09,56.83,231.31,71.3,57.77,56.84,67.23
Chitosan,16.22,51.74,157.93,170.07,83.66,51.61,59.39,44.62
Thermoplastic Starch (TPS),39.25,79.83,158.44,178.3,91.85,96.65,61.24,74.03
Polybutylene Fumarate (PBF),15.59,46.74,89.36,229.81,90.1,50.08,99.54,33.84
Polyhydroxyvalerate (PHV),74.65,106.68,159.95,183.65,86.78,44.32,69.98,83.92
Cork Composite,92.32,32.08,42.39,224.15,69.56,93.16,67.57,48.54
Seaweed/Kelp-based Polymer,92.66,107.99,163.99,216.38,58.31,37.88,56.59,80.27
PLA (Polylactic Acid),83.36,84.05,225.73,186.1,62.8,49.7,83.3,31.98
Recycled PP,59.97,40.15,125.94,234.2,93.58,61.86,84.07,85.35
PHA (Polyhydroxyalkanoates),68.83,77.64,194.67,234.53,93.22,72.47,62.24,57.39
Nano-cellulose Composite,32.03,50.24,164.38,207.23,97.7,54.28,96.3,29.45
Polybutylene Fumarate (PBF),62.62,54.56,15.72,161.33,56.11,65.74,90.86,76.11
Blended Starch,47.12,57.53,43.67,157.5,78.0,45.52,64.75,92.16
Hemp Fiber Composite,49.45,27.1,197.09,219.36,83.31,71.05,76.45,26.92
Polycaprolactone (PCL),73.87,124.52,24.51,229.47,86.26,59.73,75.19,75.81
Polybutylene Succinate (PBS),31.74,23.74,239.72,204.59,83.08,89.75,70.16,81.94
Recycled LDPE,34.94,90.36,225.11,162.67,89.08,60.27,91.65,32.21
Nano-cellulose Composite,88.64,59.61,100.16,158.05,69.57,62.18,59.2,74.27
Polylactic Acid (PLA) Blends,11.76,88.62,87.94,199.86,61.02,72.27,73.22,84.11
Hemp Fiber Composite,49.77,58.03,159.04,219.29,62.22,40.38,73.8,33.71
Polybutylene Fumarate (PBF),87.59,91.55,158.77,167.82,53.07,42.66,75.67,72.65
Paper-based Composite,60.82,97.41,35.92,225.52,69.14,85.74,93.65,89.59
Thermoplastic Starch (TPS),55.15,93.33,65.62,224.65,56.86,50.59,64.19,55.03
Cellulose Acetate,28.89,32.44,164.57,225.52,67.77,78.56,58.91,84.99
Alginate,37.17,89.77,203.18,158.71,82.34,38.63,82.5,39.12
PLA (Polylactic Acid),82.21,49.97,60.12,155.19,94.99,87.89,62.16,24.63
Polybutylene Succinate (PBS),56.29,23.45,179.95,232.91,92.38,99.2,57.63,73.48
Poly(3-hydroxybutyrate) (PHB),52.35,64.21,219.56,181.11,64.5,57.41,73.74,78.36
Jute Fiber Composite,15.6,66.19,42.68,213.36,58.87,66.38,64.26,73.95
Paper-based Composite,8.2,69.74,118.19,185.71,61.67,62.1,70.74,39.16
Polybutylene Fumarate (PBF),92.1,94.83,214.88,150.53,98.62,92.8,66.09,89.25
Polybutylene Fumarate (PBF),40.15,53.02,102.1,152.12,78.6,32.68,58.44,32.97
Recycled PP,60.18,53.7,78.32,238.27,61.17,76.44,79.86,69.37
Maleic Anhydride Grafted (MAG) Polymers,13.84,26.8,190.22,186.71,92.44,76.36,55.44,45.48
Hemp Fiber Composite,67.26,92.93,109.18,231.05,71.27,58.0,98.46,67.23
PLA (Polylactic Acid),89.34,80.37,180.98,206.18,95.21,46.91,69.83,51.56
Nano-cellulose Composite,57.74,57.31,44.7,176.65,64.88,48.3,86.04,35.93
Thermoplastic Starch (TPS),17.94,94.87,145.08,164.48,71.18,86.43,91.31,27.42
Nano-cellulose Composite,58.28,77.15,104.17,243.78,76.49,36.5,66.98,42.68
Recycled HDPE,74.62,69.96,249.37,185.55,94.9,70.34,88.49,54.12
Recycled PP,42.76,74.4,153.98,199.55,93.77,52.87,92.32,62.73
Cork Composite,84.67,87.6,175.31,226.97,79.78,50.04,65.25,45.72
Seaweed/Kelp-based Polymer,64.21,90.1,45.79,175.89,63.03,66.39,99.66,64.28
